ip,port,panel_name,panel_number
192.168.55.13,5001,Ethnycity Nagarbhavi Gateway-1,80660001_1
192.168.55.14,5001,Ethenicity Nagarbhavi GateWay-2,80660001_2
192.168.94.13,5001,SU_RT Nagar,80660041_1
192.168.105.14,5001,SU_Kamanahalli AC GW1 LG Backnet ,970054_2
192.168.79.13,5001,"Style Union Sujana Mall, HYD",80660025_1
192.168.95.13,5001,SU_Garuda mall,80660042_1
192.168.105.13,5001,SU_Kamanahalli EM GW,970054_1
192.168.77.13,5001,SU_Ashoka Mall,80660036_1
192.168.57.13,5001,EthnyCity Shankar Mall,80660003_1
192.168.98.13,5001,SU_Ameerpeth,80660048_1
192.168.103.14,5001,SU_Trinity Mall AC GW (LG),80660053_2
192.168.56.13,5001,"SD Road, Hydrabad",80660002_1
192.168.55.15,5001,Ethenicity Nagarbhavi GateWay-3,80660001_3
192.168.56.14,5001,"SD Road, Ethinicity, Gateway-2",80660002_2
192.168.58.13,5001,JN road Rajmundry,80660004_1
192.168.58.14,5001,"JN road, Rajmundry2",80660004_2
192.168.58.15,5001,JN road Rajmundry3,80660004_3
192.168.58.16,5001,JN road Rajmundry4,80660004_4
192.168.59.13,5001,SU - HSR Layout-1,80660005_1
192.168.59.14,5001,SU - HSR Layout-2_GF&FF ODU,80660005_2
192.168.59.15,5001,SU - HSR Layout-3_SF&TF ODU,80660005_3
192.168.60.13,5001,Style union Malkajgiri-1,80660014_1
192.168.60.14,5001,Style Union Malkajgiri-2,80660014_2
192.168.60.15,5001,Style union Malkajgiri-3,80660014_3
192.168.61.13,5001,Style Union Dharwad-1,80660007_1
192.168.61.14,5001,SU - Dharwad 3_FF ODU,80660007_2
192.168.61.15,5001,SU - Dharwad 3_GF ODU,80660007_3
192.168.61.16,5001,SU - Dharwad 4_SF ODU,80660007_4
192.168.62.13,5001,Sharath City Mall,80660006_1
192.168.63.13,5001,Style union GSM Mall,80660015_1
192.168.64.13,5001,Style Union Banashankari1 ,80660009_1
192.168.64.14,5001,SU _ Banashankari-2_FF ODU,80660009_2
192.168.64.15,5001,SU _ Banashankari-3_SF ODU,80660009_3
192.168.65.13,5001,style Union Narapally MJR Mall,80660012_1
192.168.66.13,5001,Style Union Erode1,80660023_1
192.168.66.14,5001,Style Union Erode2,80660023_2
192.168.66.15,5001,Style Union Erode3,80660023_3
192.168.67.13,5001,SU_Toli Chowki Energy,80660008_1
192.168.67.14,5001,SU_Toli Chowki AC gw1,80660008_2
192.168.67.15,5001,SU_Toli Chowki AC gw2,80660008_3
192.168.68.13,5001,style Union UDUPI/Manipal,80660010_1
192.168.68.14,5001,Style-Union-Upupi-Manipal-2,80660010_2
192.168.68.16,5001,Style Union Udipi-Manipal-3,80660010_3
192.168.69.13,5001,Style Union-Praga Mall,80660013_1
192.168.70.13,5001,Style Union Trichy1,80660017_1
192.168.70.14,5001,Style Union Trichy2,80660017_2
192.168.70.15,5001,Style Union Trichy3,80660017_3
192.168.70.16,5001,Style Union Trichy4,80660017_4
192.168.71.13,5001,Style Union Electronic city,80660019_1
192.168.71.14,5001,SU - Electronic City 2_GF ODU,80660019_2
192.168.71.15,5001,SU - Electronic City 3_FF ODU,80660019_3
192.168.72.13,5001,Style Union Forum Shantiniketan1,80660020_1
192.168.73.13,5001,Style Union RR nagar1,80660021_1
192.168.73.14,5001,Style Union RR Nagar2,80660021_2
192.168.73.15,5001,Style Union RR nagar3,80660021_3
192.168.74.13,5001,SU HENNUR,80660030_1
192.168.74.14,5001,SU HENNUR_AC2_FF,80660030_2
192.168.74.15,5001,SU HENNUR SPR,80660030_3
192.168.74.16,5001,SU HENNUR_AC1_GF,80660030_4
192.168.75.13,5001,Style Union Mettupalayam1,80660022_1
192.168.75.14,5001,style Union Mettupalayam AC GW-1,80660022_2
192.168.75.15,5001,Style Union Mettupalayam AC GW FF,80660022_3
192.168.75.16,5001,Style Union Mettupalayam3,80660022_4
192.168.75.17,5001,Style Union Mettupalayam,80660022_5
192.168.75.18,5001,Style union Mettupalayam4,80660022_6
192.168.76.13,5001,Style Union RS PURAM,80660024_1
192.168.76.14,5001,Style Union RS Puram,80660024_2
192.168.76.15,5001,Style Union RS Puram,80660024_3
192.168.76.16,5001,Style Union RS Puram,80660024_4
192.168.76.17,5001,Style Union RS Puram,80660024_5
192.168.78.13,5001,SU AMR Planet mall,80660029_1
192.168.80.13,5001,style union hubballi 1,80660026_1
192.168.80.14,5001,style union hubballi 2,80660026_2
192.168.80.15,5001,style union hubballi 3,80660026_3
192.168.80.16,5001,style union hubballi 4,80660026_4
192.168.81.13,5001,Davanagere,80660052_1
192.168.81.14,5001,Davanagere_2,80660052_2
192.168.81.15,5001,Davanagere_3,80660052_3
192.168.81.16,5001,SU_Davangere,80660052_4
192.168.82.13,5001,SU Gandhi Bazar,80660028_1
192.168.82.14,5001,SU Gandhi Bazar_AC1,80660028_2
192.168.82.15,5001,SU Gandhi Bazar_AC2,80660028_3
192.168.84.13,5001,SU Manglore City Centre,80660031_1
192.168.85.13,5001,SU_Vizianagaram,80660043_1
192.168.85.14,5001,SU_Vizianagaram_AC1,80660043_2
192.168.85.15,5001,SU_Vizianagaram_AC2,80660043_3
192.168.85.16,5001,SU_Vizianagaram_AC3,80660043_4
192.168.86.13,5001,SU_Macherla,80660033_1
192.168.87.13,5001,SU_Ongale,80660037_1
192.168.87.14,5001,SU_Ongole AC GW-1,80660037_2
192.168.87.15,5001,SU_Ongole AC GW-2,80660037_3
192.168.88.13,5001,Vijaywada Energy 1,80660040_1
192.168.88.14,5001,Vijaywada AC 1,80660040_2
192.168.88.15,5001,Vijaywada Energy 1,80660040_3
192.168.90.13,5001,SU-Guntur,80660039_1
192.168.90.14,5001,SU-Guntur(AC Device-1),80660039_2
192.168.90.15,5001,SU-Guntur(AC Device-2),80660039_3
192.168.90.16,5001,SU-Guntur(AC Device-3),80660039_4
192.168.91.13,5001,SU_Vadavalli,80660038_1
192.168.91.14,5001,SU_vadavalli AC1 GW,80660038_2
192.168.91.15,5001,SU_vadavalli AC2 GW,80660038_3
192.168.93.13,5001,Kasavanhalli Energy 1,80660035_1
192.168.93.14,5001,Kasavanhalli Energy 2,80660035_1
192.168.94.14,5001,RT Nagar AC1,80660041_2
192.168.94.16,5001,SU_RT Nagar AC3,80660041_3
192.168.98.14,5001,Su_Ameerpeth AC GW,80660048_2
192.168.101.13,5001,Tirupati Energy 1,80770050_1
192.168.101.14,5001,Tirupati AC1,80770050_2
192.168.101.15,5001,Tirupati AC2,80770050_3
192.168.101.16,5001,Tirupati AC3,80770050_4
192.168.102.13,5001,Koramangala_01,80660051_1
192.168.103.13,5001,SU_Trinity Mall Maredpally,80660053_1
192.168.103.15,5001,SU_Trinity Mall AC GW2,80660053_3
192.168.104.13,5001,Vijaynagar Energy 1,80660055_1
192.168.104.14,5001,Vijaynagar AC1,80660055_2
192.168.104.15,5001,Vijaynagar AC2,80660055_3
192.168.104.16,5001,Vijaynagar AC3,80660055_4
192.168.105.15,5001,Kamnhalli AC3,970054_3
192.168.105.16,5001,Kamnhalli AC4,970054_4
192.168.106.13,5001,SU_Vijaywada 2,970055_1
192.168.106.14,5001,SU_Vijaywada 2,970055_2
192.168.106.15,5001,SU_Vijaywada 2,970055_3
192.168.106.16,5001,SU_Vijaywada 2 ,970055_4
10.13.10.103,5001,Lodha 7th floor,iam-gw-210145
10.13.10.103,5002,Lodha 6th floor,iam-gw-210146
10.13.10.103,5003,Lodha 5th floor (VRF),iam-gw-210147
10.13.10.102,5001,Ghansoli 16th floor,iam-gw-210104
10.13.10.102,5002,Ghansoli 15th floor EM,iam-gw-210105
10.13.10.102,5003,Ghansoli 15th floor VAV,iam-gw-210106
172.16.10.75,5001,Bajaj Fiserv POC,210180
